Plaintext,Ciphertext,Decrypted Text
A6961365,0987A4C4,A6961365
D9BD9AA2,69810A0C,D9BD9AA2
D54A976C,3A309314,D54A976C
C5021894,37891D9A,C5021894
D95B858D,02202A01,D95B858D
D550C963,FDEC5A36,D550C963
96CD0B55,01E4E94A,96CD0B55
9062C69E,C258FA5E,9062C69E
FFE1DDCB,00730F23,FFE1DDCB
95E74B8B,858E0091,95E74B8B
842C4381,BAD3E769,842C4381
C7D56512,0B955C25,C7D56512
F0E10062,5C79C2F9,F0E10062
D5A78950,6AE81659,D5A78950
98601E07,337B699A,98601E07
AF38A84A,5B5862A1,AF38A84A
BAF91148,C23C24B5,BAF91148
FDA64FF8,F4FE4EE2,FDA64FF8
940513D5,EE221781,940513D5
ED81C574,3D6D1019,ED81C574
D287A4F4,36DE9DDA,D287A4F4
B029B013,7F66ED18,B029B013
98703009,5BA64004,98703009
B6D0FE7C,D737EF93,B6D0FE7C
BDB2E61E,27E45919,BDB2E61E
8F70338B,D475E7D6,8F70338B
CB74FB34,4F1E5F87,CB74FB34
9CF3B7C7,192F56D4,9CF3B7C7
B13B3310,9B485D48,B13B3310
CA9F4C3C,D9C5D033,CA9F4C3C
A03B2EDA,3E759374,A03B2EDA
A52D28E1,9A5188EF,A52D28E1
CEFCD588,E9549C35,CEFCD588
A1F4B990,A7FB5507,A1F4B990
E9852959,D69534CC,E9852959
FDC7EA0F,BDC8D1B0,FDC7EA0F
DD78CADD,3E759A3A,DD78CADD
AC042963,3969E990,AC042963
CAC2C8AF,7BF53F9B,CAC2C8AF
8DCB6006,7A4952AF,8DCB6006
F401E7CE,EF91FE81,F401E7CE
F0987E46,493F180C,F0987E46
E8AC60C6,D7590DC4,E8AC60C6
A15F88FA,3DDA8793,A15F88FA
CC13DD99,EF8683D4,CC13DD99
82E1B150,BF574143,82E1B150
B66EE5BC,FA3E2ED9,B66EE5BC
A8072C28,C4DE799A,A8072C28
94AB8837,6F16514D,94AB8837
96E1CF77,00739616,96E1CF77
